country,country_name,region,quarter,year,quarter_num,unemp,cpi,ipi,cci,gdp_growth,period,cpi_yoy,ipi_yoy,cpi_qoq,high_inflation,high_unemp,trend,is_turkiye,group
DEU,Germany,Europe,2006Q1,2006,1,10.533333333333331,87.10369000000001,90.46666666666664,-8.666666666666666,2.910260107,Normal,1.7066137207502274,4.585741811175303,0.35829427315619,0,1,5,0,Other OECD
DEU,Germany,Europe,2006Q2,2006,2,10.2,87.57015333333334,93.03333333333336,-7.599999999999999,4.048875788,Normal,1.844490391740683,6.486074017550569,0.5355264895589684,0,1,6,0,Other OECD
DEU,Germany,Europe,2006Q3,2006,3,9.9,87.85003,95.06666666666666,-8.433333333333334,4.01725281,Normal,1.472703197623071,7.25836780744642,0.31960280530893836,0,1,7,0,Other OECD
DEU,Germany,Europe,2006Q4,2006,4,9.566666666666666,87.91222333333333,96.43333333333334,-8.6,5.144713435,Normal,1.2898624558166594,6.674041297935096,0.0707948913999612,0,1,8,0,Other OECD
DEU,Germany,Europe,2007Q1,2007,1,9.066666666666666,88.65855666666666,98.23333333333332,-6.266666666666667,4.121060196,Normal,1.7850755423411302,8.58511422254975,0.8489528589255224,0,1,9,0,Other OECD
DEU,Germany,Europe,2007Q2,2007,2,8.6,89.37379,98.86666666666667,-2.1,3.0437613,Normal,2.0596477201554775,6.270154066642752,0.8067279236480651,0,1,10,0,Other OECD
DEU,Germany,Europe,2007Q3,2007,3,8.433333333333334,89.84025666666666,100.7,-3.8,2.793556581,Normal,2.2654820569402823,5.925666199158486,0.5219278120203397,0,1,11,0,Other OECD
DEU,Germany,Europe,2007Q4,2007,4,8.200000000000001,90.61769,101.76666666666668,-7.0,2.058568898,Normal,3.0774635927571126,5.530591081921887,0.8653507482929701,0,1,12,0,Other OECD
DEU,Germany,Europe,2008Q1,2008,1,7.899999999999999,91.27073666666666,103.43333333333334,-8.733333333333333,2.523013177,GFC 2008-09,2.946337159334922,5.293518832711253,0.7206613484261881,0,1,13,0,Other OECD
DEU,Germany,Europe,2008Q2,2008,2,7.533333333333334,91.95488,102.2,-11.0,1.483877028,GFC 2008-09,2.8879719658302605,3.3715441672285795,0.7495757767705058,0,1,14,0,Other OECD
DEU,Germany,Europe,2008Q3,2008,3,7.133333333333333,92.60792666666669,101.06666666666666,-16.333333333333332,0.414708424,GFC 2008-09,3.080656826559247,0.36411784177423634,0.7101816311072096,0,1,15,0,Other OECD
DEU,Germany,Europe,2008Q4,2008,4,7.033333333333334,92.07926666666668,94.06666666666666,-18.33333333333333,-1.871631219,GFC 2008-09,1.6129043530757503,-7.566328201768768,-0.5708582613050628,0,1,16,0,Other OECD
DEU,Germany,Europe,2009Q1,2009,1,7.2,92.01707333333331,81.16666666666667,-20.03333333333333,-7.017204299,GFC 2008-09,0.8177173691414019,-21.52755398001933,-0.0675432543989607,0,1,17,0,Other OECD
DEU,Germany,Europe,2009Q2,2009,2,7.466666666666666,92.20366,81.16666666666667,-18.6,-6.451110796,GFC 2008-09,0.27054572851381575,-20.580560991519892,0.20277396346954912,0,1,18,0,Other OECD
DEU,Germany,Europe,2009Q3,2009,3,7.533333333333334,92.39024333333332,84.0,-13.433333333333332,-5.35227302,GFC 2008-09,-0.23505907233718482,-16.886543535620046,0.2023600075455878,0,1,19,0,Other OECD
DEU,Germany,Europe,2009Q4,2009,4,7.266666666666667,92.45243333333332,85.5,-10.266666666666667,-3.12100583,GFC 2008-09,0.4052667665322751,-9.107016300496095,0.0673123024209632,0,1,20,0,Other OECD
DEU,Germany,Europe,2010Q1,2010,1,7.0,92.76341333333332,87.10000000000001,-10.3,2.382522461,Normal,0.8110886088458447,7.3100616016427145,0.33636756631247877,0,1,21,0,Other OECD
DEU,Germany,Europe,2010Q2,2010,2,6.7,93.22986666666668,92.13333333333333,-7.166666666666667,4.343639564,Normal,1.1129782339081462,13.511293634496901,0.502841925034847,0,1,22,0,Other OECD
DEU,Germany,Europe,2010Q3,2010,3,6.433333333333334,93.41645,93.76666666666668,-2.233333333333333,4.700835697,Normal,1.1107305594642236,11.626984126984151,0.20013257554087893,0,0,23,0,Other OECD
DEU,Germany,Europe,2010Q4,2010,4,6.2,93.72742666666666,97.4,0.4333333333333333,4.584179965,Normal,1.379080341494543,13.918128654970774,0.3328928327576808,0,0,24,0,Other OECD
DEU,Germany,Europe,2011Q1,2011,1,5.866666666666667,94.50486,99.03333333333336,0.4666666666666666,5.706081731,Normal,1.8772990385864885,13.700727133562985,0.8294619419118465,0,0,25,0,Other OECD
DEU,Germany,Europe,2011Q2,2011,2,5.566666666666666,95.09571,100.63333333333333,-0.9666666666666668,3.744848844,Normal,2.001336481585292,9.225759768451525,0.6252059417896527,0,0,26,0,Other OECD
DEU,Germany,Europe,2011Q3,2011,3,5.433333333333334,95.46888,102.0,-2.5666666666666664,3.308954426,Normal,2.1970755685963184,8.780661215783848,0.3924151783503138,0,0,27,0,Other OECD
DEU,Germany,Europe,2011Q4,2011,4,5.233333333333333,95.81095333333332,100.93333333333334,-4.666666666666667,2.624927245,Normal,2.2229636945827247,3.6276522929500343,0.35830873194837576,0,0,28,0,Other OECD
DEU,Germany,Europe,2012Q1,2012,1,5.1,96.52618666666666,100.5,-4.633333333333333,1.016697825,Normal,2.1388600191214246,1.480982834062572,0.7465047663652857,0,0,29,0,Other OECD
