variable,type,description,role_in_report
country,Categorical,Three-letter country code,Grouping and comparison
country_name,Categorical,Readable country name,Tables and labels
quarter,Time/discrete,Quarterly period from 2005Q1 to 2025Q4,Time index
unemp,Continuous,Unemployment rate,"Main response in mean tests, ANOVA, and regression"
cpi,Continuous,Consumer price index,Inflation-related analysis
ipi,Continuous,Industrial production index,Production comparison
cci,Continuous,Consumer confidence index,Regression predictor
gdp_growth,Continuous,Quarterly GDP growth rate,Regression predictor
cpi_qoq,Continuous/derived,Quarter-over-quarter CPI percentage change,Creates high-inflation indicator
cpi_yoy,Continuous/derived,Year-over-year CPI percentage change,Regression predictor
ipi_yoy,Continuous/derived,Year-over-year IPI percentage change,Regression predictor
high_inflation,Binary/derived,"Equals 1 when cpi_qoq > 3%, otherwise 0",Proportion tests
period,Categorical/derived,"Normal, GFC 2008-09, COVID-19 2020, or Recovery 2021-22",ANOVA grouping variable
trend,Discrete/derived,Sequential quarter number within country,Regression control
group,Categorical/derived,Turkiye or Other OECD,Two-sample tests and plots
